2.000000	0.549092
2.250000	0.563837
2.500000	0.555467
2.750000	0.553440
3.000000	0.551726
3.250000	0.557001
3.500000	0.555761
3.750000	0.552615
4.000000	0.553237
4.250000	0.306846
4.500000	0.436015
4.750000	0.267045
5.000000	0.359773
5.250000	0.312914
5.500000	0.316755
5.750000	0.282734
6.000000	0.289470
6.250000	0.271583
6.500000	0.272958
6.750000	0.271828
7.000000	0.272369
7.250000	0.258777
7.500000	0.258271
7.750000	0.260994
8.000000	0.270454
8.250000	0.258359
8.500000	0.270230
8.750000	0.267758
9.000000	0.255043
9.250000	0.089213
9.500000	0.153092
9.750000	0.049375
10.000000	0.026706
10.250000	0.017141
10.500000	0.016723
10.750000	0.015574
11.000000	0.015750
11.250000	0.014594
11.500000	0.014046
11.750000	0.014292
12.000000	0.014237
12.250000	0.013914
12.500000	0.013991
12.750000	0.014001
13.000000	0.015070
13.250000	0.014874
13.500000	0.016694
13.750000	0.015907
14.000000	0.015487
14.250000	0.015818
14.500000	0.017203
14.750000	0.018270
15.000000	0.016176
15.250000	0.018507
15.500000	0.018661
15.750000	0.018275
16.000000	0.017571
